Journée,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Classement Home,Classement Away,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
10,Montpellier,Bordeaux,2,0,H,5,14,58,38,52,33,40,41,12,-8,41,70
10,Nice,Marseille,0,1,A,7,6,53,55,28,54,32,50,-4,4,50,150
10,St Etienne,Rennes,1,1,D,4,12,62,46,55,50,40,51,15,-1,74,68
11,Nimes,St Etienne,1,1,D,8,4,52,62,53,55,53,40,0,15,20,74
11,Amiens,Nantes,1,2,A,16,10,35,47,29,47,49,46,-20,1,36,60
11,Angers,Lyon,1,2,A,13,3,45,66,43,63,43,45,0,18,30,285
11,Guingamp,Strasbourg,1,1,D,20,11,26,46,25,57,64,46,-39,11,30,37
11,Lille,Caen,1,0,H,2,18,72,33,62,29,30,49,32,-20,90,34
11,Monaco,Dijon,2,2,D,17,19,33,31,36,29,55,55,-19,-26,215,35
11,Toulouse,Montpellier,0,3,A,15,5,38,58,32,52,50,40,-18,12,35,41
11,Bordeaux,Nice,0,1,A,14,7,38,53,33,28,41,32,-8,-4,70,50
11,Marseille,Paris SG,0,2,A,6,1,55,88,54,100,50,32,4,68,150,500
11,Rennes,Reims,0,2,A,12,9,46,49,50,35,51,41,-1,-6,68,40
12,Paris SG,Lille,2,1,H,1,2,88,72,100,62,32,30,68,32,500,90
12,Caen,Rennes,1,2,A,18,12,33,46,29,50,49,51,-20,-1,34,68
12,Dijon,Nimes,0,4,A,19,8,31,52,29,53,55,53,-26,0,35,20
12,Lyon,Bordeaux,1,1,D,3,14,66,38,63,33,45,41,18,-8,285,70
12,Nice,Amiens,1,0,H,7,16,53,35,28,29,32,49,-4,-20,50,36
12,Reims,Monaco,1,0,H,9,17,49,33,35,36,41,55,-6,-19,40,215
12,Strasbourg,Toulouse,1,1,D,11,15,46,38,57,32,46,50,11,-18,37,35
12,Montpellier,Marseille,3,0,H,5,6,58,55,52,54,40,50,12,4,41,150
12,Nantes,Guingamp,5,0,H,10,20,47,26,47,25,46,64,1,-39,60,30
12,St Etienne,Angers,4,3,H,4,13,62,45,55,43,40,43,15,0,74,30
13,Lille,Strasbourg,0,0,D,2,11,72,46,62,57,30,46,32,11,90,37
13,Angers,Montpellier,1,0,H,13,5,45,58,43,52,43,40,0,12,30,41
13,Guingamp,Lyon,2,4,A,20,3,26,66,25,63,64,45,-39,18,30,285
13,Nimes,Nice,0,1,A,8,7,52,53,53,28,53,32,0,-4,20,50
13,St Etienne,Reims,2,0,H,4,9,62,49,55,35,40,41,15,-6,74,40
13,Toulouse,Amiens,0,1,A,15,16,38,35,32,29,50,49,-18,-20,35,36
13,Bordeaux,Caen,0,0,D,14,18,38,33,33,29,41,49,-8,-20,70,34
