Day,Classement Home,Classement Away,FTHG,FTAG,FTR,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
17,20,16,1,2,0,26,35,25,29,64,49,-39,-20,30,36
17,12,19,2,0,1,46,31,50,29,51,55,-1,-26,68,35
17,2,9,1,1,0,5,72,49,62,35,30,41,32,-6,90,40
17,11,18,2,2,0,5,46,33,57,29,46,49,11,-20,37,34
18,9,11,2,1,1,49,46,35,57,41,46,-6,11,40,37
18,3,17,3,0,1,66,33,63,36,45,55,18,-19,285,215
18,7,4,1,1,0,5,53,62,28,55,32,40,-4,15,50,74
18,8,2,2,3,0,52,72,53,62,53,30,0,32,20,90
18,18,15,2,1,1,33,38,29,32,49,50,-20,-18,34,35
19,13,6,1,1,0,5,45,55,43,54,43,50,0,4,30,150
19,2,15,1,2,0,72,38,62,32,30,50,32,-18,90,35
19,17,20,0,2,0,33,26,36,25,55,64,-19,-39,215,30
19,5,3,1,1,0,5,58,66,52,63,40,45,12,18,41,285
19,1,10,1,0,1,88,47,100,47,32,46,68,1,500,60
19,9,18,2,2,0,5,49,33,35,29,41,49,-6,-20,40,34
19,12,8,4,0,1,46,52,50,53,51,53,-1,0,68,20
19,4,19,3,0,1,62,31,55,29,40,55,15,-26,74,35
19,11,7,2,0,1,46,53,57,28,46,32,11,-4,37,50
19,14,16,1,1,0,5,38,35,33,29,41,49,-8,-20,70,36
18,16,13,0,0,0,5,35,45,29,43,49,43,-20,0,36,30
18,10,5,2,0,1,47,58,47,52,46,40,1,12,60,41
20,18,2,1,3,0,33,72,29,62,49,30,-20,32,34,90
20,3,9,1,1,0,5,66,49,63,35,45,41,18,-6,285,40
20,16,1,0,3,0,35,88,29,100,49,32,-20,68,36,500
20,20,4,0,1,0,26,62,25,55,64,40,-39,15,30,74
20,7,14,1,0,1,53,38,28,33,32,41,-4,-8,50,70
20,19,5,1,1,0,5,31,58,29,52,55,40,-26,12,35,41
